station_id,station_name,clean_name,lat,lon,city,state,address,latitude,longitude
site_1561,"Mundka, Delhi - DPCC",mundka,28.684678,77.076574,Delhi,Delhi,,,
site_115,"NSIT Dwarka, Delhi - CPCB",nsit dwarka,28.60909,77.0325413,Delhi,Delhi,,,
site_1427,"Najafgarh, Delhi - DPCC",najafgarh,28.570173,76.933762,Delhi,Delhi,,,
site_1426,"Narela, Delhi - DPCC",narela,28.822836,77.101981,Delhi,Delhi,,,
site_1429,"Nehru Nagar, Delhi - DPCC",nehru nagar,28.56789,77.250515,Delhi,Delhi,,,
site_105,"North Campus, DU, Delhi - IMD",north campus,28.6573814,77.1585447,Delhi,Delhi,,,
site_1428,"Okhla Phase-2, Delhi - DPCC",okhla phase-2,28.530785,77.271255,Delhi,Delhi,,,
site_1431,"Patparganj, Delhi - DPCC",patparganj,28.623763,77.287209,Delhi,Delhi,,,
site_125,"Punjabi Bagh, Delhi - DPCC",punjabi bagh,28.674045,77.131023,Delhi,Delhi,,,
site_1563,"Pusa, Delhi - DPCC",pusa,28.639645,77.146262,Delhi,Delhi,,,
site_107,"Pusa, Delhi - IMD",pusa,28.639645,77.146263,Delhi,Delhi,,,
site_124,"R K Puram, Delhi - DPCC",r k puram,28.563262,77.186937,Delhi,Delhi,,,
site_1430,"Rohini, Delhi - DPCC",rohini,28.732528,77.11992,Delhi,Delhi,,,
site_113,"Shadipur, Delhi - CPCB",shadipur,28.6514781,77.1473105,Delhi,Delhi,,,
site_119,"Sirifort, Delhi - CPCB",sirifort,28.5504249,77.2159377,Delhi,Delhi,,,
site_1432,"Sonia Vihar, Delhi - DPCC",sonia vihar,28.710508,77.249485,Delhi,Delhi,,,
site_1562,"Sri Aurobindo Marg, Delhi - DPCC",sri aurobindo marg,28.531346,77.190156,Delhi,Delhi,,,
site_1435,"Vivek Vihar, Delhi - DPCC",vivek vihar,28.672342,77.31526,Delhi,Delhi,,,
site_1434,"Wazirpur, Delhi - DPCC",wazirpur,28.699793,77.165453,Delhi,Delhi,,,
site_1423,"ITI Jahangirpuri, Delhi, Delhi, India",jahangirpuri,,,Delhi,Delhi,WAQI Alias,0.0,0.0
site_1430,"Shaheed Sukhdev College of Business Studies, Rohini, Delhi, Delhi, India",rohini,,,Delhi,Delhi,WAQI Alias,0.0,0.0
site_1428,"DITE Okhla, Delhi, Delhi, India",okhla phase-2,,,Delhi,Delhi,WAQI Alias,0.0,0.0
site_1562,"Sri Auribindo Marg, Delhi, Delhi, India",sri aurobindo marg,,,Delhi,Delhi,WAQI Alias,0.0,0.0
site_1432,"Sonia Vihar Water Treatment Plant DJB, Delhi, Delhi, India",sonia vihar,,,Delhi,Delhi,WAQI Alias,0.0,0.0
site_1560,"Pooth Khurd, Bawana, Delhi, Delhi, India",bawana,,,Delhi,Delhi,WAQI Alias,0.0,0.0
site_124,"R.K. Puram, Delhi, Delhi, India",r k puram,,,Delhi,Delhi,WAQI Alias,0.0,0.0
site_1429,"PGDAV College, Sriniwaspuri, Delhi, Delhi, India",sriniwaspuri,,,Delhi,Delhi,WAQI Alias,0.0,0.0
site_1435,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",jhilmil,,,Delhi,Delhi,WAQI Alias,0.0,0.0
site_1434,"Delhi Institute of Tool Engineering, Wazirpur, Delhi, Delhi, India",wazirpur,,,Delhi,Delhi,WAQI Alias,0.0,0.0
site_1422,"National Institute of Malaria Research, Sector 8, Dwarka, Delhi, Delhi, India",dwarka,,,Delhi,Delhi,WAQI Alias,0.0,0.0
site_1420,"Satyawati College, Delhi, Delhi, India",ashok vihar,,,Delhi,Delhi,WAQI Alias,0.0,0.0
site_1431,"Mother Dairy Plant, Parparganj, Delhi, Delhi, India",patparganj,,,Delhi,Delhi,WAQI Alias,0.0,0.0
site_1427,"Bramprakash Ayurvedic Hospital, Najafgarh, Delhi, Delhi, India",najafgarh,,,Delhi,Delhi,WAQI Alias,0.0,0.0
